userid,firstname,lastname,email,birthdate,hometown,contribution,gender,password
1,Rahul,Razdan,ab@gmail.com,2019-11-22,a,2,M,12
2,Dennis,Castellano,bc@gmail.com,2019-11-23,b,5,M,2
3,Tom,Brady,cd@gmail.com,2020-08-07,c,3,M,234
4,Julian,Edelman,de@gmail.com,2020-08-07,d,7,M,345
5,Danny,Amendola,ef@gmail.com,2020-02-12,e,5,M,45
6,Jayson,Tatum,fg@gmail.com,2018-12-13,f,3,M,6
7,Jaylen,Brown,gh@gmail.com,2015-12-16,g,5,M,745
8,Marcus,Smart,hi@gmail.com,2013-12-17,hi,7,M,2342
9,Dalvin,Cook,ij@yahoo.com,2013-12-17,i,78,M,4231
10,Cool,Dude,rz@hotmail.com,2012-08-22,k,5,M,4
11,dasfasdf,sdahfkja,ij@gmail.com,2020-12-26,l,4,M,6435
12,asdf,adsfjlaj,jk@gmail.com,2020-12-18,m,23,F,2345
13,as,aidosfjklad,kl@gmail.com,2020-12-08,n,34,F,435
14,asdf,adklfjakl,lm@gmail.com,2020-12-25,o,5,F,6
15,sdaf,fdfjakl,mn@gmail.com,2020-12-25,p,3,F,4356
16,asd,sdafkljasdklf,no@gmail.com,2020-12-25,q,2,F,3456
17,asfas,iadfhsdajfkl,op@gmail.com,2013-12-11,r,4,F,34
18,asdfasgas,dkfjasdklf,pq@gmail.com,2002-12-11,s,65,F,56
19,fdsagasd,ajfkla,qr@gmail.com,2002-12-11,t,7,F,346
20,fasdfg,asdklfjakdsjl,rj@gmail.com,2020-06-02,u,5,F,34
